Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
MASERATI,'QUATTROPORTE S',FULL-SIZE,3,6,AS8,Z,14.9,10.3,13.1,22,300
TOYOTA,'Camry AWD XLE/XSE',MID-SIZE,2.5,4,AS8,X,9.5,7,8.4,34,197
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2,4,AM6,D,7.6,5.6,6.7,42,180
PORSCHE,'911 Targa 4 GTS',MINICOMPACT,3,6,AM7,Z,12.1,9.2,10.8,26,251
HONDA,'Passport AWD','SUV - SMALL',3.5,6,A9,X,12.5,9.8,11.3,25,265
LEXUS,'UX 250h',COMPACT,2,4,AV6,X,5.5,5.7,5.6,50,130
AUDI,'Q3 QUATTRO',COMPACT,2,4,AS6,Z,11.9,8.4,10.3,27,240
HONDA,Accord,FULL-SIZE,1.5,4,AV7,X,8.2,6.8,7.6,37,177
NISSAN,Micra,COMPACT,1.6,4,A4,X,9,6.8,8,35,188
HYUNDAI,'Santa Fe AWD','SUV - SMALL',2,4,AS8,X,12,9.2,10.7,26,255
MINI,'JOHN COOPER WORKS CLUBMAN',SUBCOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191
TOYOTA,'COROLLA iM',MID-SIZE,1.8,4,M6,X,8.8,6.8,7.9,36,185
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.2,10.7,12.6,22,295
FORD,'MUSTANG (Performance Pkg)',SUBCOMPACT,5,8,M6,X,16.7,10.2,13.8,20,324
CHEVROLET,'EQUINOX AWD','SUV - SMALL',3.6,6,A6,E,19.8,13.6,17,17,272
LEXUS,'RC 350 AWD',SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
GMC,SIERRA,'PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.5,13.7,16.9,17,270
MINI,'COOPER S CLUBMAN',MID-SIZE,2,4,M6,Z,10.8,7.7,9.4,30,220
ROLLS-ROYCE,Ghost,FULL-SIZE,6.6,12,AS8,Z,20.3,13,17,17,397
FORD,'FOCUS RS AWD',MID-SIZE,2.3,4,M6,Z,12.1,9.3,10.9,26,255
JEEP,'WRANGLER JK 4X4','SUV - SMALL',3.6,6,A5,X,14.1,11.1,12.8,22,299
BMW,'650i xDRIVE COUPE',COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6,AS10,X,13,8.8,11.1,25,261
TOYOTA,'COROLLA LE ECO (2-mode)',MID-SIZE,1.8,4,AV,X,8,6.3,7.2,39,168
JAGUAR,'F-TYPE R AWD CONVERTIBLE',TWO-SEATER,5,8,AS8,Z,15.6,10.4,13.3,21,311
'ASTON MARTIN','V8 VANTAGE',TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',2.5,4,A5,X,13.5,10.5,12.2,23,286
LEXUS,'ES 300h',MID-SIZE,2.5,4,AS6,X,5.5,5.2,5.3,53,124
DODGE,Charger,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
BMW,335i,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,AM6,X,12.2,8.5,10.6,27,246
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,20.5,14.5,17.8,16,296
BUICK,'ENVISION AWD','SUV - SMALL',2,4,A6,Z,11.8,9.1,10.6,27,248
BUICK,'LACROSSE FFV',MID-SIZE,3.6,6,AS6,X,13.7,8.6,11.4,25,268
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
TOYOTA,'HIGHLANDER AWD','SUV - STANDARD',3.5,6,AS8,X,12.1,9,10.6,27,251
JAGUAR,'XE 20d AWD',COMPACT,2,4,AS8,D,7.8,5.8,6.9,41,186
FORD,'E150 VAN FFV','VAN - CARGO',4.6,8,A4,E,24.1,19.2,21.9,13,350
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.6,6.4,7.6,37,178
CHEVROLET,'SILVERADO FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,E,19.3,14.4,17.1,17,284
HYUNDAI,EQUUS,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306
CHEVROLET,'Silverado WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
MAZDA,'MAZDA6 (SIL)',MID-SIZE,2.5,4,M6,X,9.8,6.9,8.4,34,196
DODGE,'DURANGO AWD FFV','SUV - STANDARD',3.6,6,A8,E,17.7,13,15.6,18,250
FORD,'Mustang Convertible',SUBCOMPACT,5,8,AS10,X,15.4,9.7,12.9,22,302
INFINITI,'QX70 AWD','SUV - SMALL',3.7,6,AS7,Z,14.6,10.7,12.8,22,294
JEEP,RENEGADE,'SUV - SMALL',2.4,4,A9,X,10.8,7.8,9.5,30,222
MERCEDES-BENZ,'SL 63 AMG',TWO-SEATER,5.5,8,AS7,Z,14.8,10.2,12.7,22,292
NISSAN,'MURANO AWD','STATION WAGON - MID-SIZE',3.5,6,AV7,X,11.2,8.4,9.9,29,232
'LAND ROVER','RANGE ROVER SPORT V6 3.0 SC FFV','SUV - STANDARD',3,6,AS8,Z,14.2,10.2,12.4,23,285
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.7,9,31,210
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,12.1,8.7,10.6,27,244
FORD,MUSTANG,SUBCOMPACT,5,8,AS6,X,14.9,9.5,12.4,23,285
MERCEDES-BENZ,'CL 63 AMG',COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.9,8.3,9.7,29,228
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,E,20.5,14,17.6,16,282
MINI,'COOPER CLUBMAN',SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV6,X,9.4,7.3,8.4,34,198
NISSAN,Altima,MID-SIZE,2.5,4,AV,X,8.6,6.1,7.4,38,174
JAGUAR,'XJL 3.0 AWD PORTFOLIO',FULL-SIZE,3,6,AS8,Z,14.1,9.3,11.9,24,279
CHEVROLET,'COLORADO ZR2 4WD','PICKUP TRUCK - SMALL',3.6,6,A8,X,15,13,14.1,20,331
'ALFA ROMEO','4C Spider',TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
BMW,'430i xDrive Cabriolet',SUBCOMPACT,2,4,AS8,Z,10.6,7.3,9.1,31,213
BMW,'M6 CABRIOLET',SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
